Customer_ID,First_Name,Last_Name,Age,Gender,Marital_Status,Education,Occupation,City,State,Employment_Status,Annual_Income,Monthly_Income,Customer_Since,Customer_Segment,Risk_Profile
CUST101501,Tarak,Rana,,Male,Married,Doctorate,Salaried - Government,Ludhiana,Punjab,Employed,1225309.03,102109.09,15,Business Owners,Medium
CUST102586,Udant,Mani,29,Male,Widowed,Diploma,Salaried - Government,Mumbai,Maharashtra,Employed,1499948.6,124995.72,11,Young Professionals,Medium
CUST102653,Bhavini,Dixit,45,Female,Divorced,Graduate,Unemployed,Bhopal,,Not Employed,,5023.88,6,Business Owners,Low
CUST101055,Unni,Tandon,24,Female,Divorced,Graduate,Student,Mysuru,Karnataka,Not Employed,52357.14,4363.1,6,Students,Medium
CUST100705,Vedhika,Manda,41,Female,Married,High School,Salaried - Private,Hyderabad,Telangana,Employed,699538.25,58294.85,10,Business Owners,Medium
CUST100106,Abhimanyu,Chander,32,Male,Single,Post Graduate,Salaried - Government,Nagpur,Maharashtra,Employed,1026272.61,85522.72,8,Young Professionals,Medium
CUST100589,Omkaar,Panchal,18,Male,Single,Graduate,Student,Ranchi,Jharkhand,Not Employed,66106.48,5508.87,1,Students,Medium
CUST102468,Harish,Prakash,40,Male,Married,Post Graduate,Salaried - Private,Bhopal,Madhya Pradesh,Employed,1718583.27,,15,Business Owners,Medium
CUST102413,Lucky,Babu,30,Male,Divorced,Graduate,Salaried - Private,Indore,,Employed,1517440.71,126453.39,3,Young Professionals,Medium
CUST101600,Unni,Chahal,38,Female,Widowed,Graduate,Salaried - Private,Delhi,,Employed,1128178.89,94014.91,2,,Medium
CUST102464,Niharika,Gara,33,Female,Single,Post Graduate,Homemaker,Lucknow,Uttar Pradesh,,176933.51,14744.46,15,Young Professionals,Low
CUST100228,Vedika,Wali,49,Female,Married,Graduate,Salaried - Private,Bengaluru,Karnataka,Employed,1827569.11,152297.43,5,Business Owners,Medium
CUST100915,Ranveer,Divan,34,Male,Married,Graduate,Salaried - Private,Pune,Maharashtra,Employed,1021235.51,85102.96,5,Young Professionals,Medium
CUST100794,Rajeshri,Pathak,,Female,Married,High School,,Delhi,Delhi,Retired,414856.22,34571.35,8,Retired Customers,Low
CUST103021,Vedika,Devi,47,Female,Single,Graduate,Homemaker,Chandigarh,Punjab,Not Employed,19326.57,1610.55,2,Business Owners,Low
CUST103543,Hemal,Gopal,32,Female,Single,Post Graduate,Salaried - Private,Kochi,Kerala,,1700520.4,141710.03,4,Young Professionals,Medium
CUST101073,Lipika,Purohit,32,Female,Single,Doctorate,Salaried - Private,,Karnataka,Employed,722724.31,60227.03,14,Young Professionals,Medium
CUST103351,Amrita,Kuruvilla,21,Female,Widowed,Graduate,Salaried - Private,Coimbatore,Tamil Nadu,Employed,1483178.57,123598.21,3,Young Professionals,High
CUST101744,Mahika,Kadakia,35,Female,Married,Post Graduate,Self Employed,Lucknow,Uttar Pradesh,Self Employed,2877082.72,239756.89,16,Business Owners,High
CUST101084,Vidhi,Walla,34,Female,Married,Graduate,Salaried - Private,,Delhi,Employed,2196706.66,183058.89,10,Young Professionals,High
CUST100926,Krisha,Murthy,,Other,Single,Graduate,Salaried - Private,Ludhiana,Punjab,Employed,1431053.33,119254.44,10,Young Professionals,High
CUST103049,Zinal,Walia,33,Female,Single,Post Graduate,Salaried - Government,Vadodara,Gujarat,Employed,910252.54,75854.38,15,Young Professionals,Medium
CUST101117,Laksh,Wason,36,Male,Widowed,Graduate,Self Employed,Delhi,Delhi,Self Employed,1428833.85,119069.49,1,Business Owners,High
CUST100642,Kamya,Chauhan,39,Female,Divorced,Graduate,Salaried - Private,Surat,Gujarat,Employed,1935170.13,161264.18,17,Business Owners,Medium
